Lychener Str. 23
Wrangelstraße 93
Köpenicker Straße 137
Friedrichstr. 151
Bayreuther Straße 42
Raumerstraße 17
Wartburgstraße 54
Jeanne Mammen Bogen 576/577
Dudenstraße 40-64
Winterfeldtstr. 50
Novalisstraße 11
Schiffbauerdamm 5
Ecke Knaackstr. 37
Auguststr. 49a
Hohenstaufenstr. 4
Friedrichstr. 112A
Tucholskystr. 30
Nordufer 10
Schaperstr. 24
Am Zwirngraben 17-20
Hauptstraße 30
Gleimstr. 33-35
Oranienstraße 187
Gleimstr. 23
Fehrbelliner Str. 92
Oranienstraße 183
Nordufer 15
Dircksenstr. 142
Savignyplatz 7
Wiener Straße 14
Potsdamer Str. 102
Straße am Schildhorn 4a
Grolmanstr. 52
Schönhauser Allee 176a
Charlottenstr. 57
Oderberger Straße 27
Oderberger Straße 46
Bergmannstr. 93
Siegfried Straße 136
Krossener Straße 15
Marlene-Dietrich-Platz 1
Simon-Dach-Str. 40
Motzstrasse 19
Fasanenstr. 40
Arminiusstr. 2-4
Bötzowstraße 31
Wühlischstr. 22
Friedrichstraße
Mehringdamm 61
Frankfurter Allee 23
Kurfürstendamm 153
Erich-Weinert-Straße 67
Knaackstr. 22-24
Fuggerstr. 33
Veteranenstrasse 26
Bernauer Str. 63
Schönhauser Allee 177b
Köpenicker Strasse 126
Siegfriedstraße 136
Schiffbauerdamm 11
Eberswalder Strasse 21
Weserstr. 40
Brunnenstr. 173
Torstr. 151
Schliemannstr. 31
Gotenstraße 71
Scharnweberstraße 54
Auerbacher Ring 25
Parkaue 25
Gneisenaustrasse 18
Johannisstr. 2
Columbiadamm 13-21
Revaler Straße 29
Pannierstrasse 5
Weserstr. 206
Weinbergsweg 26
Bernauerstraße 63
Schlesische Strasse 35
Lychener Str. 15
Hobrechtstr. 61
Falckensteinstr. 49
Columbiadamm 8-10
Potsdamerstr. 58
Ackerstr. 170
Voltairestraße 5
Rosenthaler Str. 39
Danziger Straße 56
Nollendorfplatz 5
Rosenthaler Straße 13
Gendarmenmarkt
Havelchaussee 61
Breitscheidplatz
Oranienburger Str. 28-30
Hackescher Markt
Steinstraße
Potsdamer Platz
Gendarmenmarkt 5
Spandauer Damm 10-22
Landsberger Allee
Sedanstr.
Martin-Luther-Str.
Volkspark Hasenheide
Schwarzer Weg 21
Homeyer Strasse 27
Eisenacher Str. 99
Krumme Lanke
Am Schlachtensee 1
Heiligenseestraße
Niederneuendorfer Allee
Hobrechtsfelder Chaussee
Wannseebadweg 25
Herbert-Baum-Str. 45
Ernst-Reuter-Platz
Potsdamer Straße/Kleistpark
Bebelplatz
Oberbaumbrücke
Straße des 17. Juni
Greenwich-Promenade
Gendarmenmarkt 5
Nollendorfplatz
Spreeweg
Karl-Liebknecht Straße 8
Am Tierpark 125
Westendallee 71
Fraenkelufer 10-12
Königin-Luise-Str. 55
Chamissoplatz
Invalidenstr. 3
Mehringplatz
Columbiadamm 128
Hüttigpfad
Am Müggelberg 1
Waldsassener Strasse 9
Pariser Platz
Paul-und-Paula-Ufer
Mariannenplatz
Hauptstr. 39
Landsberger Allee 77
Adolfstr. 12
Prinzenallee 24-26
Skalitzer Straße 33
Brunowstrasse 61
Clayallee 169-171
Spandauer Straße 3
Schönhauser Allee 161
Lausitzer Platz
Hohenzollerndamm 130
Bahnhof Wannsee
Klixstr. 2
Thusnelda Allee 1
Stargarder Str. 77
Wilhelmsaue 119
Lilienthalstraße 5
Alt-Moabit 25
Hittorfstrasse 23
Bundesallee 76a
Fuldastraße 48-50
Cantianstr. 24
